rank,Economy,Income Group(Strength/Weakness),Strength / Weakness,Score_2021
1,Switzerland,Strength,Strength,65.5
2,Sweden,Strength,Strength,63.1
3,United States of America,Strength,Strength,61.3
4,United Kingdom,Strength,Strength,59.8
5,Republic of Korea,,,59.3
6,Netherlands,,Strength,58.6
7,Finland,,,58.4
8,Singapore,,,57.8
9,Denmark,,,57.3
10,Germany,,,57.3
11,France,,,55
12,China,Strength,,54.8
13,Japan,,,54.5
14,Hong Kong,,,53.7
15,Israel,,,53.4
16,Canada,,,53.1
17,Iceland,,,51.8
18,Austria,,,50.9
19,Ireland,,,50.7
20,Norway,,,50.4
21,Estonia,Weakness,,49.9
22,Belgium,Weakness,,49.2
23,Luxembourg,Weakness,,49
24,Czech Republic,Weakness,,49
25,Australia,Weakness,,48.3
26,New Zealand,,,47.5
27,Malta,,,47.1
28,Cyprus,,,46.7
29,Italy,,,45.7
30,Spain,,,45.4
31,Portugal,,,44.2
32,Slovenia,,,44.1
33,United Arab Emirates,,,43
34,Hungary,,,42.7
35,Bulgaria,Strength,,42.4
36,Malaysia,Strength,,41.9
37,Slovakia,,,40.2
38,Latvia,,,40
39,Lithuania,,,39.9
40,Poland,,,39.9
41,Turkey,Strength,,38.3
42,Croatia,,,37.3
43,Thailand,,,37.2
44,Viet Nam,Strength,,37
45,Russian Federation,,,36.6
46,India,Strength,,36.4
47,Greece,,,36.3
48,Romania,,,35.6
49,Ukraine,Strength,,35.6
50,Montenegro,,,35.4
51,Philippines,Strength,,35.3
52,Mauritius,,,35.2
53,Chile,,,35.1
54,Serbia,,,35
55,Mexico,,,34.5
56,Costa Rica,,,34.5
57,Brazil,,,34.2
58,Mongolia,Strength,,34.2
59,North Macedonia,,,34.1
60,Iran (Islamic Republic of),,,32.9
61,South Africa,,,32.7
62,Belarus,,,32.6
63,Georgia,,,32.4
64,Republic of Moldova,Strength,,32.3
65,Uruguay,Weakness,,32.2
66,Saudi Arabia,Weakness,,31.8
67,Colombia,,,31.7
68,Qatar,Weakness,,31.5
69,Armenia,,,31.4
70,Peru,,,31.2
71,Tunisia,,,30.7
72,Kuwait,Weakness,,29.9
73,Argentina,,,29.8
74,Jamaica,,,29.6
75,Bosnia and Herzegovina,,,29.6
76,Oman,Weakness,,29.4
77,Morocco,,,29.3
78,Bahrain,Weakness,,28.8
79,Kazakhstan,,,28.6
80,Azerbaijan,,,28.4
81,Jordan,,,28.3
82,Brunei Darussalam,Weakness,,28.2
83,Panama,Weakness,,28
84,Albania,,,28
85,Kenya,,,27.5
86,Uzbekistan,,,27.4
87,Indonesia,,,27.1
88,Paraguay,,,26.4
89,Cabo Verde,,,25.7
90,United Republic of Tanzania,,,25.6
91,Ecuador,Weakness,,25.4
92,Lebanon,Weakness,,25.1
93,Dominican Republic,Weakness,,25.1
94,Egypt,,,25.1
95,Sri Lanka,,,25.1
96,El Salvador,,,25
97,Trinidad and Tobago,Weakness,,24.8
98,Kyrgyzstan,,,24.5
99,Pakistan,,,24.4
100,Namibia,Weakness,,24.3
101,Guatemala,Weakness,,24.1
102,Rwanda,Strength,,23.9
103,Tajikistan,Strength,,23.9
104,Bolivia (Plurinational State of),,,23.4
105,Senegal,,,23.3
106,Botswana,Weakness,,22.9
107,Malawi,Strength,,22.9
108,Honduras,,,22.8
109,Cambodia,,,22.8
110,Madagascar,,,22.5
111,Nepal,,,22.5
112,Ghana,,,22.3
113,Zimbabwe,,,21.9
114,Cote dIvoire,,,21
115,Burkina Faso,,,20.5
116,Bangladesh,,,20.2
117,Lao People's Democratic Republic,,,20.2
118,Nigeria,,,20.1
119,Uganda,,,20
120,Algeria,,,19.9
121,Zambia,,,19.8
122,Mozambique,,,19.7
123,Cameroon,,Weakness,19.7
124,Mali,,,19.5
125,Togo,,,19.3
126,Ethiopia,,,18.6
127,Myanmar,Weakness,,18.4
128,Benin,Weakness,Weakness,18
129,Niger,,,17.8
130,Guinea,Weakness,Weakness,16.7
131,Yemen,Weakness,,15.4
132,Angola,Weakness,Weakness,15
