country_name,project_score_overall,latitude,longitude,colors
Bahamas (the),3,25.025885,-78.035889,purple
Jamaica,3,18.476223,-77.89389,purple
Nigeria,3,9.081999,8.675277,purple
Anguilla,3,18.22723,-63.048988,purple
Antigua and Barbuda,3,17.087635,-61.772346,purple
Grenada,3,12.104818,-61.670761,purple
Montserrat,3,16.742498,-62.187366,purple
(St Kitts) and Nevis,3,17.363747,-62.754593,purple
Saint Lucia,3,13.909444,-60.978893,purple
 Saint Vincent and the Grenadines,3,13.2528179,-61.1971628,purple
